isco08,isco_name,feor_08,feor_08_name
5162,Társalkodók és komornyikok,5229,Egyéb személygondozási foglalkozású
5163,Temetkezési vállalkozók és balzsamozók,5293,Temetkezési foglalkozású
5164,Hobbiállat-gondozók és -kozmetikusok,5292,"Hobbiállat-gondozó, -kozmetikus"
5165,Gépjárművezető-oktatók,5291,Járművezető-oktató
5169,Máshová nem sorolható személyi szolgáltatási foglalkozásúak,5219,Egyéb személyi szolgáltatási foglalkozású
5169,Máshová nem sorolható személyi szolgáltatási foglalkozásúak,5299,"Egyéb, máshova nem sorolható szolgáltatási foglalkozású"
5211,Utcai és piaci árusok (kivéve élelmiszerárusok),5115,"Piaci, utcai árus"
5212,Utcai élelmiszerárusok,5116,"Piaci, utcai étel- és italárus"
5221,Kereskedők,5111,Kereskedő
5222,Vezető eladók,5112,Vezető eladó
5223,Beosztott eladók,5113,Bolti eladó
5223,Beosztott eladók,5114,Kölcsönző
5230,Pénztárosok és jegyárusítók,5117,"Bolti pénztáros, jegypénztáros"
5241,Manökenek és egyéb modellek,5122,Áru- és divatbemutató
5242,Termékbemutató ügynökök,5122,Áru- és divatbemutató
5243,Házaló ügynökök,5129,"Egyéb, máshova nem sorolható kereskedelmi foglalkozású"
5244,Telefonos/multimédiás értékesítő ügynökök,5123,Telefonos (multimédiás) értékesítési ügynök
5245,Benzinkutasok,5121,Üzemanyagtöltő állomás kezelője
5246,Büfések,5131,Vendéglős
5249,Máshová nem sorolható értékesítési foglalkozásúak,5129,"Egyéb, máshova nem sorolható kereskedelmi foglalkozású"
